cik,entityName,val,accn,end,fy,fp,form,filed,frame,year,tag,is_10k
49196,Huntington Bancshares Incorporated,0.0,0000049196-19-000018,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
49196,Huntington Bancshares Incorporated,260000000.0,0000049196-20-000010,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
49196,Huntington Bancshares Incorporated,939000000.0,0000049196-21-000018,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
49196,Huntington Bancshares Incorporated,441000000.0,0000049196-22-000023,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
49196,Huntington Bancshares Incorporated,92000000.0,0000049196-23-000020,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
49196,Huntington Bancshares Incorporated,650000000.0,0000049196-24-000020,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
49196,Huntington Bancshares Incorporated,0.0,0000049196-24-000020,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
49196,Huntington Bancshares Incorporated,0.0,0000049196-24-000020,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC.,2002000000.0,0000049826-18-000017,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC.,2000000000.0,0000049826-19-000021,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC.,1000000000.0,0000049826-20-000020,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC.,2000000000.0,0000049826-21-000007,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC,1500000000.0,0000049826-22-000006,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC,706000000.0,0000049826-23-000008,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC,1000000000.0,0000049826-24-000008,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC,1750000000.0,0000049826-25-000007,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC,1500000000.0,0000049826-26-000008,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC,1500000000.0,0000049826-26-000008,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
49826,ILLINOIS TOOL WORKS INC,1500000000.0,0000049826-26-000008,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
50863,INTEL CORP,3001000000.0,0000050863-18-000007,2015-12-26,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
50863,INTEL CORP,2587000000.0,0000050863-19-000007,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
50863,INTEL CORP,3615000000.0,0000050863-20-000011,2017-12-30,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
50863,INTEL CORP,10730000000.0,0000050863-21-000010,2018-12-29,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
50863,INTEL CORPORATION,13576000000.0,0000050863-22-000007,2019-12-28,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
50863,INTEL CORPORATION,14229000000.0,0000050863-23-000006,2020-12-26,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
50863,INTEL CORPORATION,2415000000.0,0000050863-24-000010,2021-12-25,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
50863,INTEL CORPORATION,0.0,0000050863-24-000010,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
50863,INTEL CORPORATION,0.0,0000050863-24-000010,2023-12-30,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
51143,INTERNATIONAL BUSINESS MACHINES CORPORATION,4609000000.0,0001047469-18-001117,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
51143,INTERNATIONAL BUSINESS MACHINES CORPORATION,3502000000.0,0001047469-19-000712,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
51143,INTERNATIONAL BUSINESS MACHINES CORPORATION,4340000000.0,0001558370-20-001334,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
51143,INTERNATIONAL BUSINESS MACHINES CORPORATION,4443000000.0,0001558370-21-001489,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
51143,INTERNATIONAL BUSINESS MACHINES CORPORATION,1361000000.0,0001558370-22-001584,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,122193000.0,0000051253-18-000005,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,127443000.0,0000051253-19-000004,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,58069000.0,0000051253-20-000026,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,15475000.0,0000051253-21-000011,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,0.0,0000051253-21-000011,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,0.0,0000051253-21-000011,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,0.0,0000051253-26-000006,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,0.0,0000051253-26-000006,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,38000000.0,0000051253-26-000006,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER CO /NEW/,605000000.0,0000051434-18-000008,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER CO /NEW/,132000000.0,0000051434-19-000007,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER CO /NEW/,47000000.0,0000051434-20-000011,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER CO /NEW/,732000000.0,0000051434-21-000012,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER COMPANY,535000000.0,0000051434-22-000016,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER COMPANY,42000000.0,0000051434-23-000013,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER COMPANY,839000000.0,0000051434-24-000024,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER COMPANY,1284000000.0,0000051434-25-000013,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER COMPANY,218000000.0,0000051434-26-000055,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER COMPANY,23000000.0,0000051434-26-000055,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
51434,INTERNATIONAL PAPER COMPANY,65000000.0,0000051434-26-000055,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Engineering Group Inc.,422316000.0,0001564590-17-024192,2015-10-02,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Solutions Inc.,152550000.0,0000052988-18-000036,2016-09-30,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Engineering Group Inc.,97180000.0,0000052988-19-000069,2017-09-29,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Solutions Inc.,2981000.0,0000052988-20-000070,2018-09-28,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Engineering Group Inc.,853676000.0,0000052988-21-000065,2019-09-27,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Solutions Inc.,337251000.0,0000052988-22-000111,2020-10-02,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
52988,JACOBS SOLUTIONS INC.,274948000.0,0000052988-23-000084,2021-10-01,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Solutions Inc.,281926000.0,0000052988-24-000065,2022-09-30,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Solutions Inc.,265714000.0,0001628280-25-053316,2023-09-29,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Solutions Inc.,402668000.0,0001628280-25-053316,2024-09-27,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
52988,Jacobs Solutions Inc.,754130000.0,0001628280-25-053316,2025-09-26,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,861000000.0,0000055785-18-000014,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,739000000.0,0000055785-19-000013,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,911000000.0,0000055785-20-000016,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,800000000.0,0000055785-21-000016,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,800000000.0,0000055785-22-000010,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,700000000.0,0000055785-23-000012,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,400000000.0,0000055785-24-000018,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,100000000.0,0001628280-25-055209,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,225000000.0,0001628280-26-007567,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,1000000000.0,0001628280-26-007567,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
55785,KIMBERLY-CLARK CORPORATION,141000000.0,0001628280-26-007567,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
56873,The Kroger Co.,703000000.0,0001558370-18-003055,2016-01-30,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
56873,The Kroger Co.,1766000000.0,0001558370-19-002756,2017-01-28,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
56873,The Kroger Co.,1633000000.0,0001558370-20-003501,2018-02-03,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
56873,The Kroger Co.,2010000000.0,0001558370-21-003706,2019-02-02,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
56873,THE KROGER CO.,465000000.0,0001558370-22-004595,2020-02-01,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
56873,THE KROGER CO.,1324000000.0,0001558370-23-004767,2021-01-30,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
56873,THE KROGER CO.,1647000000.0,0001558370-24-004603,2022-01-29,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
56873,KROGER CO,993000000.0,0001558370-25-004267,2023-01-28,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
56873,KROGER CO,62000000.0,0001104659-26-037723,2024-02-03,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
56873,KROGER CO,4156000000.0,0001104659-26-037723,2025-02-01,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
56873,KROGER CO,2699000000.0,0001104659-26-037723,2026-01-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY & Co,749500000.0,0000059478-18-000089,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY AND COMPANY,600100000.0,0000059478-19-000274,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY AND COMPANY,299800000.0,0000059478-20-000057,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY & Co,4150700000.0,0000059478-21-000083,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY AND COMPANY,4400000000.0,0000059478-22-000068,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY AND COMPANY,500000000.0,0000059478-23-000082,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY AND COMPANY,1250000000.0,0000059478-24-000065,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY AND COMPANY,1500000000.0,0000059478-25-000067,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY AND COMPANY,750000000.0,0000059478-26-000013,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY AND COMPANY,2500000000.0,0000059478-26-000013,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
59478,ELI LILLY AND COMPANY,4108000000.0,0000059478-26-000013,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORPORATION,1265000000.0,0001193125-18-046681,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORPORATION,134000000.0,0001193125-19-037854,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORPORATION,216000000.0,0001193125-20-031657,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORPORATION,1026000000.0,0001140361-21-003906,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORP,1051000000.0,0000060086-22-000007,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORP,923000000.0,0000060086-23-000025,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORP,1136000000.0,0000060086-24-000029,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORP,729000000.0,0000060086-25-000036,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORP,849000000.0,0000060086-26-000008,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORP,608000000.0,0000060086-26-000008,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
60086,LOEWS CORP,806000000.0,0000060086-26-000008,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
60667,LOWES COMPANIES INC,3925000000.0,0000060667-18-000051,2016-01-29,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
60667,"LOWE’S COMPANIES, INC",3595000000.0,0000060667-19-000042,2017-02-03,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
60667,"LOWE’S COMPANIES, INC",3192000000.0,0000060667-20-000036,2018-02-02,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
60667,LOWES COMPANIES INC,3037000000.0,0000060667-21-000026,2019-02-01,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
60667,LOWES COMPANIES INC,4313000000.0,0000060667-22-000038,2020-01-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
60667,LOWES COMPANIES INC,4971000000.0,0000060667-23-000034,2021-01-29,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
60667,LOWES COMPANIES INC,13012000000.0,0000060667-24-000033,2022-01-28,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
60667,"LOWE’S COMPANIES, INC",14124000000.0,0000060667-25-000049,2023-02-03,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
60667,"LOWE’S COMPANIES, INC",6138000000.0,0000060667-26-000029,2024-02-02,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
60667,"LOWE’S COMPANIES, INC",4053000000.0,0000060667-26-000029,2025-01-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
60667,"LOWE’S COMPANIES, INC",211000000.0,0000060667-26-000029,2026-01-30,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",1400000000.0,0000062709-18-000020,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",800000000.0,0000062709-19-000010,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",900000000.0,0000062709-20-000010,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",675000000.0,0000062709-21-000008,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",485000000.0,0000062709-22-000009,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",0.0,0000062709-23-000014,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",1159000000.0,0000062709-24-000016,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",1950000000.0,0000062709-25-000015,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",1150000000.0,0000062709-26-000022,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",900000000.0,0000062709-26-000022,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
62709,"Marsh & McLennan Companies, Inc.",2012000000.0,0000062709-26-000022,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
62996,Masco Corporation,456000000.0,0000062996-18-000015,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
62996,Masco Corporation,459000000.0,0000062996-19-000011,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
62996,Masco Corporation,331000000.0,0000062996-20-000006,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
62996,Masco Corporation,654000000.0,0000062996-21-000008,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
62996,MASCO CORPORATION,896000000.0,0000062996-22-000011,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
62996,MASCO CORPORATION,727000000.0,0000062996-23-000008,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
62996,Masco Corporation,1026000000.0,0000062996-24-000006,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
62996,Masco Corporation,914000000.0,0000062996-25-000004,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
62996,Masco Corporation,353000000.0,0000062996-26-000005,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
62996,Masco Corporation,751000000.0,0000062996-26-000005,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
62996,Masco Corporation,571000000.0,0000062996-26-000005,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
63754,"McCORMICK & COMPANY, INCORPORATED",145800000.0,0000063754-18-000008,2015-11-30,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
63754,"McCORMICK & COMPANY, INCORPORATED",242700000.0,0000063754-19-000017,2016-11-30,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
63754,"McCORMICK & COMPANY, INCORPORATED",137800000.0,0000063754-20-000022,2017-11-30,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
63754,"McCORMICK & COMPANY, INCORPORATED",62300000.0,0000063754-21-000020,2018-11-30,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
63754,MCCORMICK & CO INC,95100000.0,0000063754-22-000005,2019-11-30,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
63754,MCCORMICK & CO INC,47300000.0,0000063754-23-000005,2020-11-30,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
63754,MCCORMICK & CO INC,8600000.0,0000063754-24-000027,2021-11-30,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
63754,"McCORMICK & COMPANY, INCORPORATED",38800000.0,0000063754-25-000005,2022-11-30,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
63754,"McCORMICK & COMPANY, INCORPORATED",35700000.0,0000063754-26-000037,2023-11-30,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
63754,"McCORMICK & COMPANY, INCORPORATED",53100000.0,0000063754-26-000037,2024-11-30,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
63754,"McCORMICK & COMPANY, INCORPORATED",34800000.0,0000063754-26-000037,2025-11-30,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
63908,MCDONALDS CORP,6099200000.0,0000063908-18-000010,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
63908,MCDONALDS CORP,11171000000.0,0000063908-19-000010,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
63908,MCDONALDS CORP,4685700000.0,0000063908-20-000022,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
63908,MCDONALDS CORP,5207700000.0,0000063908-21-000013,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
63908,McDONALD’S CORPORATION,4976200000.0,0000063908-22-000011,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
63908,McDONALD’S CORPORATION,907800000.0,0000063908-23-000012,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
63908,McDONALD’S CORPORATION,845500000.0,0000063908-24-000072,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
63908,McDONALD’S CORPORATION,3896000000.0,0000063908-25-000012,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
63908,McDONALD’S CORPORATION,3054000000.0,0000063908-26-000035,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
63908,McDONALD’S CORPORATION,2824000000.0,0000063908-26-000035,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
63908,McDONALD’S CORPORATION,2056000000.0,0000063908-26-000035,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,974000000.0,0000064040-18-000061,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,1123000000.0,0000064040-19-000059,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,1001000000.0,0000064040-20-000055,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,1660000000.0,0000064040-21-000063,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,1240000000.0,0000064040-22-000055,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,1164000000.0,0000064040-23-000058,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,0.0,0000064040-24-000071,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,12004000000.0,0000064040-24-000071,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,3301000000.0,0000064040-26-000013,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,3301000000.0,0000064040-26-000013,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
64040,S&P Global Inc.,5001000000.0,0000064040-26-000013,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,5001000000.0,0001558370-18-000707,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,4461000000.0,0000064803-19-000042,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,4361000000.0,0000064803-20-000007,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,0.0,0000064803-20-000007,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,0.0,0000064803-20-000007,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORP,0.0,0000064803-23-000021,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,0.0,0000064803-24-000007,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,3500000000.0,0000064803-25-000007,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,2012000000.0,0000064803-26-000010,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,3023000000.0,0000064803-26-000010,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
64803,CVS HEALTH CORPORATION,0.0,0000064803-26-000010,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
65984,ENTERGY CORPORATION,99807000.0,0000065984-18-000072,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
65984,ENTERGY CORPORATION,0.0,0000065984-18-000072,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
65984,ENTERGY CORPORATION,0.0,0000065984-18-000072,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
66740,3M COMPANY,5238000000.0,0001558370-18-004256,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
66740,3M COMPANY,3753000000.0,0001558370-19-000470,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
66740,3M COMPANY,2068000000.0,0001558370-20-000581,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
66740,3M COMPANY,4870000000.0,0001558370-21-000737,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
66740,3M COMPANY,1407000000.0,0000066740-22-000038,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
66740,3M COMPANY,368000000.0,0000066740-23-000014,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
66740,3M COMPANY,2199000000.0,0000066740-24-000016,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
