date,close,calendar_quarter,trailing_E_used,PE_trailing,delta_PE_vs_prior_trading_day,is_quarter_boundary_artifact_day,source
2023-12-29,4769.830078125,2023Q4,192.42999999999998,24.787351650600222,,N (anchor: last trading day of 2023),"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output)"
2024-01-02,4742.830078125,2024Q1,191.39,24.780971200820318,-0.0063804497799040405,Y,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-03,4704.81005859375,2024Q1,191.39,24.582319131583418,-0.19865206923689982,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-04,4688.68017578125,2024Q1,191.39,24.498041568427034,-0.0842775631563839,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-05,4697.240234375,2024Q1,191.39,24.542767304326247,0.04472573589921325,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-08,4763.5400390625,2024Q1,191.39,24.889179367064635,0.34641206273838776,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-09,4756.5,2024Q1,191.39,24.852395631955694,-0.03678373510894062,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-10,4783.4501953125,2024Q1,191.39,24.993208607098072,0.1408129751423779,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-11,4780.240234375,2024Q1,191.39,24.976436775040494,-0.016771832057578706,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-12,4783.830078125,2024Q1,191.39,24.99519346948639,0.018756694445897892,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-16,4765.97998046875,2024Q1,191.39,24.901927898368516,-0.09326557111787537,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-17,4739.2099609375,2024Q1,191.39,24.762056329680235,-0.13987156868828166,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-18,4780.93994140625,2024Q1,191.39,24.980092697665764,0.21803636798552972,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
2024-01-19,4839.81005859375,2024Q1,191.39,25.287685138166832,0.30759244050106815,N,"query1.finance.yahoo.com/v8/finance/chart/%5EGSPC, field indicators.quote.close, no API key, fetched 2026-09-14; E from _research/2026-09-12-P2c-monthly_series.csv (this project's already-vetted P2c output), held flat within calendar quarter"
