window,top10_list_used,quarter,group,n_stocks,mean_idio_vol_ann_pct,median_idio_vol_ann_pct,mean_raw_return_pct,median_raw_return_pct,source
2015-19,top10_2015,2015Q1,rest,360,20.168135621256734,18.133442511462015,1.954895537507481,1.7221911001154666,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
2015-19,top10_2015,2015Q1,top10,10,13.606936337670325,12.82212117504584,-0.0827352100400858,-1.745492707469637,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
2015-19,top10_2015,2015Q2,rest,360,17.276431767991518,14.423618039405367,-0.8299657155533227,-1.4981663105836485,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
2015-19,top10_2015,2015Q2,top10,10,11.732930973558094,8.611884991932852,1.7449930146497206,-0.5950380353402784,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
2015-19,top10_2015,2015Q3,rest,361,20.283520762473778,17.36877230687493,-7.016070964479309,-6.6876499430386875,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
2015-19,top10_2015,2015Q3,top10,10,12.774750189786117,11.42230189500384,-5.863802413855706,-5.5710830689964075,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
2015-19,top10_2015,2015Q4,rest,360,23.845340476829637,19.530272977668034,4.137439314667982,5.0737509852541995,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
2015-19,top10_2015,2015Q4,top10,10,13.672478381600362,11.613114328980432,9.68309238677187,8.344486528263328,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
2015-19,top10_2015,2016Q1,rest,362,26.95645455847743,22.453946217300786,3.872519547568224,4.760996705423837,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
2015-19,top10_2015,2016Q1,top10,10,15.549733400556784,15.109058930759424,1.647571550653404,3.48851717248001,"Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13; market factor ^GSPC; OLS market-model residual per ticker-quarter, min 40 daily obs"
